Date,Campaign_Name,Campaign_Type,Ad_Set_Name,Placement,Impressions,Clicks,CTR_percent,Spend_INR,CPC_INR,Conversions,Conv_Rate_percent,Revenue_INR,ROAS,Audience_Type,Age_Group,Gender
01/01/2024,Brand Awareness Q1,Awareness,Awareness - Broad,Facebook Feed,12400,148,1.19,1480,10.00,3,2.03,4020,2.72,Broad,25-34,Male
02/01/2024,Brand Awareness Q1,Awareness,Awareness - Broad,Instagram Feed,9800,118,1.20,1200,10.17,2,1.69,2680,2.23,Broad,18-24,Female
03/01/2024,Brand Awareness Q1,Awareness,Awareness - Lookalike,Facebook Feed,11200,168,1.50,1680,10.00,4,2.38,5360,3.19,Lookalike 2%,25-34,Male
04/01/2024,Brand Awareness Q1,Awareness,Awareness - Lookalike,Instagram Stories,8600,103,1.20,1030,10.00,2,1.94,2680,2.60,Lookalike 2%,35-44,Female
05/01/2024,Brand Awareness Q1,Awareness,Awareness - Broad,Facebook Feed,0,0,0.00,0,0,0,0.00,0,0,Broad,25-34,Male
06/01/2024,Brand Awareness Q1,Awareness,Awareness - Interest,Instagram Feed,10500,126,1.20,1260,10.00,3,2.38,4020,3.19,Interest-Based,18-24,Male
07/01/2024,Brand Awareness Q1,Awareness,Awareness - Broad,Facebook Reels,7800,94,1.21,940,10.00,2,2.13,2680,2.85,Broad,45+,Female
08/01/2024,Brand Awareness Q1,Awareness,Awareness - Lookalike,Facebook Feed,13200,198,1.50,1980,10.00,4,2.02,5360,2.71,Lookalike 2%,25-34,Male
09/01/2024,Brand Awareness Q1,Awareness,Awareness - Interest,Instagram Feed,9100,109,1.20,1090,10.00,2,1.83,2680,2.46,Interest-Based,35-44,Male
10/01/2024,Brand Awareness Q1,Awareness,Awareness - Broad,Facebook Feed,11800,142,1.20,1420,10.00,3,2.11,4020,2.83,Broad,25-34,Female
11/01/2024,Brand Awareness Q1,Awareness,Awareness - Lookalike,Instagram Stories,0,0,0.00,0,0,0,0.00,0,0,Lookalike 2%,18-24,Male
12/01/2024,Brand Awareness Q1,Awareness,Awareness - Interest,Facebook Feed,10200,122,1.20,1220,10.00,2,1.64,2680,2.20,Interest-Based,25-34,Female
15/01/2024,Brand Awareness Q1,Awareness,Awareness - Broad,Instagram Feed,14600,175,1.20,1750,10.00,4,2.29,5360,3.06,Broad,25-34,Male
18/01/2024,Brand Awareness Q1,Awareness,Awareness - Lookalike,Facebook Feed,12100,181,1.50,1810,10.00,3,1.66,4020,2.22,Lookalike 2%,35-44,Female
22/01/2024,Brand Awareness Q1,Awareness,Awareness - Interest,Instagram Feed,9400,113,1.20,1130,10.00,2,1.77,2680,2.37,Interest-Based,18-24,Male
25/01/2024,Brand Awareness Q1,Awareness,Awareness - Broad,Facebook Reels,11300,136,1.20,1360,10.00,3,2.21,4020,2.96,Broad,25-34,Female
29/01/2024,Brand Awareness Q1,Awareness,Awareness - Lookalike,Facebook Feed,13800,207,1.50,2070,10.00,4,1.93,5360,2.59,Lookalike 2%,25-34,Male
01/02/2024,Brand Awareness Q1,Awareness,Awareness - Broad,Instagram Feed,10600,127,1.20,1270,10.00,2,1.57,2680,2.11,Broad,35-44,Female
05/02/2024,Brand Awareness Q1,Awareness,Awareness - Interest,Facebook Feed,12900,155,1.20,1550,10.00,3,1.94,4020,2.59,Interest-Based,25-34,Male
10/02/2024,Brand Awareness Q1,Awareness,Awareness - Lookalike,Instagram Stories,8900,133,1.50,1330,10.00,3,2.26,4020,3.02,Lookalike 2%,18-24,Female
14/02/2024,Brand Awareness Q1,Awareness,Awareness - Broad,Facebook Feed,11400,137,1.20,1370,10.00,2,1.46,2680,1.96,Broad,45+,Male
19/02/2024,Brand Awareness Q1,Awareness,Awareness - Interest,Instagram Feed,10100,121,1.20,1210,10.00,2,1.65,2680,2.21,Interest-Based,25-34,Female
24/02/2024,Brand Awareness Q1,Awareness,Awareness - Lookalike,Facebook Feed,13500,202,1.50,2020,10.00,4,1.98,5360,2.65,Lookalike 2%,35-44,Male
01/03/2024,Brand Awareness Q1,Awareness,Awareness - Broad,Instagram Reels,9800,118,1.20,1180,10.00,2,1.69,2680,2.27,Broad,18-24,Female
05/03/2024,Brand Awareness Q1,Awareness,Awareness - Interest,Facebook Feed,12200,146,1.20,1460,10.00,3,2.05,4020,2.75,Interest-Based,25-34,Male
10/03/2024,Brand Awareness Q1,Awareness,Awareness - Lookalike,Instagram Feed,11700,175,1.50,1750,10.00,3,1.71,4020,2.30,Lookalike 2%,25-34,Female
15/03/2024,Brand Awareness Q1,Awareness,Awareness - Broad,Facebook Feed,10400,125,1.20,1250,10.00,2,1.60,2680,2.14,Broad,35-44,Male
20/03/2024,Brand Awareness Q1,Awareness,Awareness - Interest,Instagram Stories,9200,110,1.20,1100,10.00,2,1.82,2680,2.44,Interest-Based,18-24,Female
25/03/2024,Brand Awareness Q1,Awareness,Awareness - Lookalike,Facebook Feed,14100,211,1.50,2110,10.00,4,1.90,5360,2.54,Lookalike 2%,25-34,Male
30/03/2024,Brand Awareness Q1,Awareness,Awareness - Broad,Instagram Feed,11900,143,1.20,1430,10.00,3,2.10,4020,2.81,Broad,45+,Female
01/04/2024,New Customer Acquisition,Traffic,New Customers - Interest,Facebook Feed,16800,386,2.30,3860,10.00,13,3.37,16770,4.34,Interest-Based,25-34,Male
05/04/2024,New Customer Acquisition,Traffic,New Customers - Lookalike,Instagram Feed,14200,327,2.30,3270,10.00,10,3.06,12900,3.94,Lookalike 2%,18-24,Female
09/04/2024,New Customer Acquisition,Traffic,New Customers - Broad,Facebook Feed,19400,446,2.30,4460,10.00,14,3.14,18060,4.05,Broad,25-34,Male
